question,answer,correct_feedback,wrong_feedback,hint
question,answer,correct_feedback,wrong_feedback,hint
"上課專心聽講可以幫助學習。","1","答對了！專心能讓學習效果更好。","答錯了！專心聽講對學習很重要。","提示：老師講解時要注意聽。"
"學習一定只能靠死記硬背。","2","正確！學習還可以靠理解與思考。","答錯了！學習不只有背誦。","提示：理解比背誦更重要。"
"遇到不懂的問題可以向老師請教。","1","答對了！問問題是好學習方式。","答錯了！老師就是來幫助學生的。","提示：不懂就問。"
"寫作業對學習完全沒有幫助。","2","很好！作業可以幫助複習。","答錯了！作業能幫助加深記憶。","提示：作業是練習的一種。"
"良好的學習習慣能提升學習效率。","1","答對了！習慣會影響學習成果。","答錯了！好的習慣很重要。","提示：固定時間讀書。"
"只要考試成績好，就代表學得很好。","2","正確！學習不只看成績。","答錯了！學習也包含理解與應用。","提示：成績不是唯一指標。"
"上課時滑手機會影響學習。","1","答對了！分心會降低學習效果。","答錯了！分心容易聽不懂。","提示：專心才能學得好。"
"閱讀課外書對學習沒有幫助。","2","很好！閱讀能增加知識。","答錯了！閱讀可以拓展視野。","提示：書本也是老師。"
"與同學合作學習可以互相幫助。","1","答對了！合作能學到不同想法。","答錯了！團隊學習很重要。","提示：一起討論會更清楚。"
"學習時保持好奇心是重要的。","1","答對了！好奇心能促進學習。","答錯了！好奇心會讓人更想學。","提示：想知道為什麼。"
